,CombinedCountry
0,
47,
62,Scandinavian
63,Birds
76,Chinese for export
88,Roman
108,Roman
112,
121,
141,
147,
164,Post-Classical
193,Roman
215,Byzantine
222,
247,
250,
278,European
293,Roman
294,European
299,Men
302,
318,
332,
356,Roman
365,
371,Men
378,Roman
394,Men
397,
400,Portraits
414,European
441,Roman
451,
461,Roman
466,
489,Anglo-Indian
492,Roman
500,Western Turkey
514,Men
528,Byzantine
534,Caucasus
550,
558,Men
560,
567,
569,
575,European
581,Indigenous South American
582,European
584,Men
591,
592,Post-Classical
599,European Bronze Age
601,
625,Parthian
632,European
636,Portraits
637,
652,
654,
678,Portraits
697,Roman
705,Frankish
729,
740,Roman
755,Portraits
783,
785,Roman
793,Bes
800,
837,Caucasus
859,
860,
878,
884,Roman
893,
897,
905,Roman
910,Men
922,
929,
946,Assyrian
947,Byzantine
974,Roman
982,African
1003,Czechoslovakian
1009,
1011,Niederbreisig
1020,Central European
1048,Roman
1069,Portraits
1086,Roman 
1089,Portraits
1099,
1144,Portraits
1155,Roman
1186,
1196,
1199,Islamic
1208,
1220,Roman
1221,Cinema
1232,
1250,
1251,
1280,
1320,Levant
1345,European
1357,
1379,Cinema
1411,
1420,Roman
1445,
1452,
1469,Roman
1471,Byzantine
1478,European
1531,European
1541,Garlands
1560,
1587,
1620,Men
1630,Roman
1643,
1655,
1709,Roman
1739,
1747,European
1752,
1764,Men
1785,European
1786,Assyrian
1826,
1839,
1856,
1859,
1870,
1922,American 
1923,
1931,
1938,Kyivan Rus’
1939,Roman
1942,
1976,Men
1978,
1984,Byzantine
1987,
1997,
2002,Flowers
2003,Old Assyrian Trading Colony
2024,Factories
2030,Roman
2093,European
2133,Roman
2140,Portraits
2148,Roman
2163,
2167,Roman
2174,European
2183,Assyrian
2190,French and British
2194,Factories
2198,
2203,
2209,Roman
2232,European
2252,
2282,European
2299,
2302,
2338,
2357,
2359,Roman
2360,
2363,European
2369,
2375,
2380,
2402,
2409,Seleucid
2423,
2435,Roman
2440,
2443,
2449,
2464,Assyrian
2467,Parthian
2478,Levant
2497,Roman
2521,
2559,Parthian
2564,Post-Classical
2579,Men
2584,
2604,European
2606,
2620,
2679,
2684,
2700,Seleucid
2704,Men
2711,
2718,
2723,European
2742,
2753,
2770,
2775,
2776,
2806,European
2839,
2853,
2857,
2871,European
2876,
2880,Men
2891,Levant
2906,
2913,
2951,European
2954,Roman
2961,
2980,
2981,Men
3005,
3049,
3053,
3097,Langobardic
3102,
3103,
3104,
3135,Roman
3146,Iranian-American
