,noncountry,geopy
0,Munich,"Munich, Bavaria, Germany"
1,Flanders,"Flanders, Belgium"
2,Holland,Netherlands
3,Holland,Netherlands
4,Holland,Netherlands
5,Flanders,"Flanders, Belgium"
6,Flanders,"Flanders, Belgium"
7,Holland,Netherlands
8,Flanders,"Flanders, Belgium"
9,Flanders,"Flanders, Belgium"
10,Flanders,"Flanders, Belgium"
11,Flanders,"Flanders, Belgium"
12,Holland,Netherlands
13,Scotland,"Scotland, United Kingdom"
14,Cales,"Calais, Pas-de-Calais, Hauts-de-France, Metropolitan France, 62100, France"
15,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
16,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
17,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
18,Basilicata,"Basilicata, Italy"
19,Etruria,"Etruria, Stoke, Stoke-on-Trent, England, ST1 5PN, United Kingdom"
20,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
21,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
22,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
23,Campania,"Campania, Italy"
24,Apulia,"Apulia, Italy"
25,Apulia,"Apulia, Italy"
26,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
27,New Mexico,"New Mexico, United States"
28,New Mexico,"New Mexico, United States"
29,New Mexico,"New Mexico, United States"
30,New Mexico,"New Mexico, United States"
31,New Mexico,"New Mexico, United States"
32,Central Italy,"Central Italy, Italy"
33,Rome,"Rome, Roma Capitale, Lazio, Italy"
34,Nola,"New Orleans, Orleans Parish, Louisiana, United States"
35,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
36,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
37,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
38,Attica,"Attica, Greece"
39,Cales,"Calais, Pas-de-Calais, Hauts-de-France, Metropolitan France, 62100, France"
40,Cales,"Calais, Pas-de-Calais, Hauts-de-France, Metropolitan France, 62100, France"
41,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
42,Rome,"Rome, Roma Capitale, Lazio, Italy"
43,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
44,Smyrna,"Izmir, Aegean Region, Turkey"
45,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
46,Flanders,"Flanders, Belgium"
47,Holland,Netherlands
48,Paris,"Paris, Metropolitan France, France"
49,Holland,Netherlands
50,England,"England, United Kingdom"
51,England,"England, United Kingdom"
52,England,"England, United Kingdom"
53,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
54,Corinth,"Corinth, Municipality of Corinth, Corinthia Regional Unit, Peloponnese Region, Peloponnese, Western Greece and the Ionian, Greece"
55,Athens,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 105 57, Greece"
56,Corinth,"Corinth, Municipality of Corinth, Corinthia Regional Unit, Peloponnese Region, Peloponnese, Western Greece and the Ionian, Greece"
57,Chicago,"Chicago, Cook County, Illinois, United States"
58,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
59,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
60,Ancient Greece,"Municipality of Ancient Olympia, Elis Regional Unit, Western Greece, Peloponnese, Western Greece and the Ionian, Greece"
61,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
62,Holland,Netherlands
63,Holland,Netherlands
64,Flanders,"Flanders, Belgium"
65,Flanders,"Flanders, Belgium"
66,Holland,Netherlands
67,England,"England, United Kingdom"
68,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
69,Florence,"Florence, Tuscany, Italy"
70,Europe,Europe
71,Europe,Europe
72,Europe,Europe
73,Europe,Europe
74,England,"England, United Kingdom"
75,Spitalfields,"Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 6EW, United Kingdom"
76,Europe,Europe
77,England,"England, United Kingdom"
78,England,"England, United Kingdom"
79,England,"England, United Kingdom"
80,England,"England, United Kingdom"
81,England,"England, United Kingdom"
82,England,"England, United Kingdom"
83,England,"England, United Kingdom"
84,England,"England, United Kingdom"
85,England,"England, United Kingdom"
86,Aubusson,"Aubusson, Argentan, Orne, Normandy, Metropolitan France, 61100, France"
87,Wales,"Wales, United Kingdom"
88,England,"England, United Kingdom"
89,England,"England, United Kingdom"
90,England,"England, United Kingdom"
91,England,"England, United Kingdom"
92,England,"England, United Kingdom"
93,England,"England, United Kingdom"
94,California,"California, United States"
95,Missouri,"Missouri, United States"
96,England,"England, United Kingdom"
97,England,"England, United Kingdom"
98,Virginia,"Virginia, United States"
99,England,"England, United Kingdom"
100,Coventry,"Coventry, West Midlands, England, United Kingdom"
101,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
102,England,"England, United Kingdom"
103,England,"England, United Kingdom"
104,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
105,England,"England, United Kingdom"
106,England,"England, United Kingdom"
107,England,"England, United Kingdom"
108,England,"England, United Kingdom"
109,England,"England, United Kingdom"
110,Bennington,"Bennington, Bennington County, Vermont, United States"
111,England,"England, United Kingdom"
112,England,"England, United Kingdom"
113,England,"England, United Kingdom"
114,England,"England, United Kingdom"
115,England,"England, United Kingdom"
116,England,"England, United Kingdom"
117,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
118,England,"England, United Kingdom"
119,Coventry,"Coventry, West Midlands, England, United Kingdom"
120,Coventry,"Coventry, West Midlands, England, United Kingdom"
121,Jouy-en-Josas,"Jouy-en-Josas, Versailles, Yvelines, Metropolitan France, 78350, France"
122,England,"England, United Kingdom"
123,England,"England, United Kingdom"
124,Savona,"Savona, Liguria, Italy"
125,Barnstable,"Barnstable County, Massachusetts, United States"
126,Flanders,"Flanders, Belgium"
127,England,"England, United Kingdom"
128,England,"England, United Kingdom"
129,England,"England, United Kingdom"
130,England,"England, United Kingdom"
131,England,"England, United Kingdom"
132,England,"England, United Kingdom"
133,England,"England, United Kingdom"
134,England,"England, United Kingdom"
135,England,"England, United Kingdom"
136,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
137,England,"England, United Kingdom"
138,England,"England, United Kingdom"
139,Rome,"Rome, Roma Capitale, Lazio, Italy"
140,Stamford,"Stamford, Western Connecticut Planning Region, Connecticut, United States"
141,Chicago,"Chicago, Cook County, Illinois, United States"
142,England,"England, United Kingdom"
143,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
144,England,"England, United Kingdom"
145,Southern Europe,"Southern Europe, Minsk World, Kastrychnitski District, Minsk, Belarus"
146,Coclé,"Coclé, Panama"
147,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
148,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
149,Flanders,"Flanders, Belgium"
150,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
151,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
152,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
153,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
154,England,"England, United Kingdom"
155,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
156,England,"England, United Kingdom"
157,Jingdezhen,"Jingdezhen, Jiangxi, 333403, China"
158,England,"England, United Kingdom"
159,England,"England, United Kingdom"
160,England,"England, United Kingdom"
161,England,"England, United Kingdom"
162,England,"England, United Kingdom"
163,England,"England, United Kingdom"
164,England,"England, United Kingdom"
165,England,"England, United Kingdom"
166,England,"England, United Kingdom"
167,Lyon,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France"
