,Unnamed: 0,title,department,accession_year,country,continent,location
34755,34755,Livre de Taille d'Épargne de Gout ancien et moderne propre pour les aprentifs orfevres,Drawings and Prints,1956.0,France,Europe,MET
169585,169585,Untitled,Photography and Media,,United States,North America,AIC
4576,4576,Playsuit,Costume Institute,2009.0,United States,North America,MET
103575,103575,Stucco Fragment,Islamic Art,1948.0,Iran,Asia,MET
224184,224184,Sugar Box,Applied Arts of Europe,1988.0,Austria,Europe,AIC
107310,107310,Malon Greeana from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Drawings and Prints,1963.0,,,MET
229359,229359,"""Westward Ho!/Pioneer"" pattern covered compote on pedestal",Arts of the Americas,1998.0,United States,North America,AIC
59971,59971,Washington at Pohick Church,Drawings and Prints,1967.0,United States,North America,MET
34584,34584,Portrait of Emperor Matthias,Drawings and Prints,1928.0,Netherlands,Europe,MET
173366,173366,Bauhaus Portfolio I: Title Page,Prints and Drawings,,United States,North America,AIC
74945,74945,"Les Petits Parrains (The Small Sponsors), from Le Monument du Costume",Drawings and Prints,1953.0,France,Europe,MET
125026,125026,南宋    佚名    冬景圖    團扇|Winter Landscape,Asian Art,1947.0,China,Asia,MET
17508,17508,Bowl,Robert Lehman Collection,1975.0,China,Asia,MET
80496,80496,The Right Owner,Drawings and Prints,1976.0,United Kingdom,Europe,MET
154175,154175,A Stagecoach,Prints and Drawings,1924.0,France,Europe,AIC
26976,26976,Limestone statuette of a seated beardless male votary with a helmet,Greek and Roman Art,1874.0,Cyprus,Asia,MET
114124,114124,Horizontal Panel with a Pattern of Five-Petalled Purple Flowers Surrounded by Black Linework,Drawings and Prints,1964.0,France,Europe,MET
171101,171101,"The Musician, from Arts et Métiers",Prints and Drawings,1941.0,France,Europe,AIC
191636,191636,Still Life,Modern Art,1954.0,France,Europe,AIC
74967,74967,Bracelet: Four Figures,"Arts of Africa, Oceania, and the Americas",1991.0,Nigeria,Africa,MET
136734,136734,Les Petits Bonheurs,Drawings and Prints,1970.0,France,Europe,MET
18894,18894,"Belle Black, from the Actors and Actresses series (N45, Type 8) for Virginia Brights Cigarettes",Drawings and Prints,1963.0,United States,North America,MET
177869,177869,Cigarette Case,Applied Arts of Europe,,France,Europe,AIC
259938,259938,Detective,Prints and Drawings,,France,Europe,AIC
59230,59230,The Tall Bridge,Drawings and Prints,1984.0,United States,North America,MET
246674,246674,Partial Figure of a Pregnant Women,Arts of Asia,2010.0,Japan,Asia,AIC
121201,121201,Door Mount,The Cloisters,1947.0,France,Europe,MET
128735,128735,Page from Ein new kunstlich Modelbuch...(Page 30r),Drawings and Prints,1922.0,Germany,Europe,MET
52284,52284,The City,Drawings and Prints,1954.0,United States,North America,MET
268797,268797,"A Grandee in Eastern Dress, a Man with a Cock attached to his Belt and a Veiled Woman Playing the Rumbling-Pot, from The Masquerades",Prints and Drawings,2023.0,Netherlands,Europe,AIC
134455,134455,Female Votive Figure,Egyptian Art,1923.0,Egypt,Africa,MET
221683,221683,"Mimasaka Province: Yamabushi Valley (Mimasaka, Yamabushidani), from the series ""Famous Places in the Sixty-odd Provinces (Rokujuyoshu meisho zue)""",Arts of Asia,,Japan,Asia,AIC
130060,130060,Statuette of Osiris,Egyptian Art,,Egypt,Africa,MET
124666,124666,[Painted Plaster Figure of Girl Reading],Photographs,2000.0,United States,North America,MET
18897,18897,Evening blouse,Costume Institute,2009.0,United States,North America,MET
89858,89858,"C'est vieux et laid, mon cher; tu es volé come dans un bois, from Bal Masqué, published in La Caricature provisoire, March 10, 1839",Drawings and Prints,1980.0,France,Europe,MET
186588,186588,Bead,Arts of Asia,,China,Asia,AIC
239054,239054,The actor Ichikawa Danjuro VII as I no Hayata,Arts of Asia,2004.0,Japan,Asia,AIC
124604,124604,Coat,Costume Institute,1961.0,France,Europe,MET
6112,6112,,Asian Art,1909.0,Japan,Asia,MET
7802,7802,Veil,Costume Institute,1983.0,France,Europe,MET
262524,262524,Passport and Visa Endorsement No. 1,Prints and Drawings,2017.0,China,Asia,AIC
10892,10892,Valentine,Drawings and Prints,1981.0,,,MET
214391,214391,Untitled,Photography and Media,,Japan,Asia,AIC
215475,215475,Vase with Cover (one of a pair),Applied Arts of Europe,1995.0,United States,North America,AIC
171624,171624,Boghall from Biggar,Prints and Drawings,1928.0,United Kingdom,Europe,AIC
199692,199692,"Bystanders, Chicago",Photography and Media,,United States,North America,AIC
133165,133165,Sheet of sketches,Drawings and Prints,1949.0,France,Europe,MET
10652,10652,"Training and Restraining (in Parables from Nature, opp. p. 37)",Drawings and Prints,1970.0,United Kingdom,Europe,MET
266808,266808,"Ettore, Side View, from Oeuvre de Canova",Prints and Drawings,2021.0,Italy,Europe,AIC
